Name,count,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C12,C14
Coral,4,#fcaf7c,#c7c7c7,#87c9c3,#04686b,,,,,,,,,,
VanGogh,5,#4c6643,#afcfa6,#f5d44b,#d47828,#b73508,,,,,,,,,
CafeTarrence,5,#6e77a2,#85982c,#c88324,#edd464,#dbd1b6,,,,,,,,,
MintGradient,3,#d2f1dc,#518463,#254750,,,,,,,,,,,
Candies,5,#8386a8,#d15c6b,#f5cf36,#8fb943,#78b9d2,,,,,,,,,
Macarons,5,#413123,#e5e1e0,#7dabcf,#f5cf36,#d15c6b,,,,,,,,,
Matcha,4,#4f6962,#b5c583,#f3df9b,#cfb79d,,,,,,,,,,
Melody,12,#45aab4,#038db2,#206491,#f9637c,#fe7966,#fbb45c,#fff4de,#ffcb5d,#81d0bb,a5b8f3,#8fa2dc,#feaac2,,
Lollipop,6,#7dabcf,#cfe7eb,#fbc1ad,#f46e49,#ffdf70,#e5e1e0,,,,,,,,
Sunrise,7,#d6594c,#cc9564,#aab083,#7d8995,#4d7787,#e9BD27,#e88c1f,,,,,,,
Monet,9,#9fbdd5,#d6e2ef,#cbc5d3,#d1b6bd,#ada3a8,#8f979a,#e4dad1,#939650,c1c4b0,,,,,
Waterlilies,10,#7ca7ae,#a3b3c9,#788ab2,#edbacd,#687050,#b8c0a8,#908088,#e1b19e,#7fc4da,#e8dff4,,,,
Sunflowers,5,#e6bc47,#d18f23,#41461b,#793718,#768f81,,,,,,,,,
Irises,7,#b7988f,#c59d17,#92a761,#75aa7a,#8ebcb7,#708ab9,#efdfbb,,,,,,,
WheatFields,6,#b9d8ab,#9bc07c,#519b61,#d2d478,#b0d4c5,#b2c4d7,,,,,,,,
Serene,4,#f0e6e4,#ceb5b9,#aebfce,#98a1b1,,,,,,,,,,
Elegant,5,#84a3a9,#597c8b,#d5ba82,#d6bbc1,#b36a6f,,,,,,,,,
Vibrance,7,#d5ba82,#b36a6f,#a1d0c7,#6f8278,#508ab2,,,,,,,
Radiant,14,#fabb6e,#fc8002,#addb88,#369f2d,#fac7b3,#ee4431,#b9181a,#cedfef,#92c2dd,#4995c6,#1663a9,#bab4d5,#8481ba,#614099
RoseGradient,5,#ECD4CC,#E2BABC,#C58A93,#A1656D,#662C37,,,,,,,,,
PurpleGradient,5,#EFE4E8,#D1BDCA,#8B6A84,#754F6C,#452B4A,,,,,,,,,
BlueGradient,5,#c6d3e7,#7e86a7,#6571a3,#364377,#232b4d,,,,,,,,,
Retro,5,#594335,#757c6a,#a97568,#b39b83,#c9d3cb,,,,,,,,,
HarmonyMix,5,#8794b6,#91b3ce,#f1cac4,#f7a444,#669568,,,,,,,,,
SimplePastel,5,#dfcabd,#dfb0ae,#bb9ca4,#bacec5,#8bb8bd,,,,,,,,,
SoftVintage,5,#bdcbdd,#ddd9cb,#cdacb3,#cf8894,#ab907b,,,,,,,,,
EasternHues,8,#D9AB42,#A35E47,#0F4C3A,#78C2C4,#C73E3A,#563F2E,#B47157,#2B5F75,,,,,,
RelaxingPastel,4,#c8a7ae,#e8b7b0,#94c5c9,#d0e4db,,,,,,,,,,
Lotus,6,#A6DAD8,#FAB378,#137355,#5E5851,#A95465,#A97C81,,,,,,,,
CalmBalance,4,#F5E8D8,#E9CB83,#899CA3,#A8BE85,,,,,,,,,,
Eggplant,5,#3F634C,#6D8E5D,#6B9794,#9D95A8,#966D8A,,,,,,,,,
SeaSalt,4,#99C0C2,#DECEAC,#348395,#001862,,,,,,,,,,
Enamel,5,#E1979C,#A95A62,#F0E9BF,#A2C47D,#3E815E,,,,,,,,,
Pearwood,4,#6B4C3D,#E0C392,#6E725C,#997E68,,,,,,,,,,
VintageBlend,5,#26889F,#034960,#AA8F42,#936569,#692E24,,,,,,,,,
CozyBlue,4,#45505F,#F0EFE9,#D6D1C9,#7B9AA5,,,,,,,,,,
OrangeLatte,5,#86634D,#c28e38,#ab5135,#F49512,#F8ba63,,,,,,,,,
WatermelonSoda,4,#df9f9a,#b3d4b3,#00896C,#B5495B,,,,,,,,,,
SoftSerenity,4,#ffcc9d,#f0a389,#b3ba99,#8994bd,,,,,,,,,,
Westminster,4,#EBC6B5,#DBDFBA,#578BB2,#7687A0,#CDA39C,#A8B7A2,,,,,,,,
EarthyTones,4,#CB783C,#597964,#156D88,#DBB540,,,,,,,,,,
GracefulHues,6,#8B829E,#AFABB9,#C1A0B3,#CCBB89,#7D95B0,#7CB2A1,,,,,,,,
Pond,4,#B5CAA0,#91AD70,#516E41,#B6C7D1,,,,,,,,,,
MutedBlend,4,#C9B089,#946543,#999F7E,#8C8C8C,,,,,,,,,,
FlowerBed,5,#EFCD74,#F89F65,#D55D1E,#889851,#37604E,,,,,,,,,
Turner,5,#C3C0AF,#D3B78F,#E3C167,#CF8C71,#95B2B0,,,,,,,,,
WarmHues,5,#8e948c,#edcbaa,#fbedcb,#b08d7c,#936154,,,,,,,,,
ColorBlocking,8,#d9e773,#f12e79,#1f9b7a,#8d4221,#0093e4,#3b3100,#bad8d2,#3b000e,,,,,,
Porcelain,5,#C5826F,#D7B298,#C2C5A8,#9FC3B5,#628476,,,,,,,,,
RetroComfort,5,#992813,#627B7F,#C38458,#9A8870,#CAAD9D,,,,,,,,,
